name,real_name,full_name,alignment,creator,intelligence_score,strength_score,speed_score,durability_score,power_score,combat_score
Agent Coulson (MCU),Phillip J. Coulson,,Good,Marvel Comics,95,10,25,30,40,75
Agent May (MCU),Melinda May,,Good,Marvel Comics,95,10,25,25,30,60
Agent Zero (FOX),David North,,,Marvel Comics,90,10,25,25,35,80
Agent Zero,Christoph Nord,Christoph Nord,Good,Marvel Comics,90,30,40,80,70,95
Ajax (FOX),Francis,Francis Freeman,,Marvel Comics,85,25,45,75,45,65
Akita,Akita,Akita,Good,Lego,80,10,45,15,70,70
Alex Danvers (CW),Alex Danvers,,Good,,95,20,40,55,35,100
Alex Mercer,Alexander J. Mercer,Alexander J. Mercer,Bad,Wildstorm,75,80,40,90,100,50
Alfred (DCEU),Alfred Pennyworth,,Good,DC Comics,95,10,10,10,15,20
Alfred Pennyworth,Alfred Thaddeus Crane Pennyworth,Alfred Thaddeus Crane Pennyworth,Good,DC Comics,80,10,15,10,5,55
Amygdala,Aaron Helzinger,,Bad,DC Comics,70,30,45,60,55,35
Alita,Alita,,Good,,95,50,40,100,80,100
All-father Hercules,Hercules,,,Marvel Comics,100,100,100,100,100,100
Allan Quatermain,,,Good,Wildstorm,80,40,20,75,100,85
Altaïr Ibn-La'Ahad,Altaïr Ibn-La'Ahad,Altaïr Ibn-La'Ahad,Good,Ubisoft,90,10,40,40,85,100
Alucard,Dracula,,Bad,Dark Horse Comics,80,70,100,85,100,80
Big Man,Frederick Foswell,Frederick Foswell,Bad,Marvel Comics,90,10,25,30,20,70
Amadeus Cho,Amadeus Cho,,Good,Marvel Comics,100,10,20,20,20,35
Amanda Waller,Amanda Waller,Amanda Blake Waller,Neutral,DC Comics,85,40,15,40,70,75
A.M.A.Z.O. (CW),,,,,90,100,100,100,100,100
Amazo,,,Bad,DC Comics,80,100,85,100,100,100
Ammo,,,Bad,Marvel Comics,0,0,0,0,5,0
Anacondrai Serpent,,,Bad,,35,75,70,70,100,45
Ancalagon,,,,J. R. R. Tolkien,85,100,45,80,90,65
Ancient One (MCU),,,Good,Marvel Comics,100,60,85,85,100,60
Ando Masahashi,Ando Masahashi,Ando Masahashi,Good,NBC - Heroes,0,0,0,0,0,0
Angel Dust,Christina,Christina,Good,Marvel Comics,70,55,25,40,15,30
Angel Of Death,,,Bad,Dark Horse Comics,85,30,50,40,100,55
Angel Salvadore (FOX),Angel Salvadore,Angel Salvadore,Bad,Marvel Comics,65,10,60,20,60,55
Angel Salvadore,Angel Salvadore Bohusk,Angel Salvadore Bohusk,Good,Marvel Comics,70,10,30,30,55,60
Angel,Liam,Liam,Good,Dark Horse Comics,90,30,60,90,100,75
Angela,Aldrif Odinsdottir,Aldrif Odinsdottir,Neutral,Marvel Comics,90,90,70,75,100,90
Animal Man,Bernhard Baker,Bernhard Baker,Good,DC Comics,80,50,45,85,75,80
Annabeth Chase (FOX),Annabeth Chase,Annabeth Chase,Good,,80,30,40,65,45,85
Annihilus,Annihilus,Annihilus,Bad,Marvel Comics,90,80,45,55,60,65
Ant-Man II,Scott Lang,Scott Lang,Good,Marvel Comics,90,20,15,40,55,30
Ant-Man (MCU),Hank Pym,Henry Jonathan Pym,Good,Marvel Comics,100,35,50,60,65,80
Ant-Man,Hank Pym,Henry Jonathan Pym,Good,Marvel Comics,100,20,25,30,30,30
Anti-Monitor,Mobius,,Bad,DC Comics,95,100,50,100,100,90
Anti-Spawn,The Redeemer,Jason Wynn,Bad,Image Comics,95,100,55,100,100,100
Anti-Venom,Eddie Brock,Edward Charles Allan Brock,,Marvel Comics,90,60,65,90,95,85
Apocalypse (FOX),En Sabah Nur,,,Marvel Comics,90,90,80,95,100,80
Aquababy,"Arthur Curry, Jr.","Arthur Curry, Jr.",Good,DC Comics,60,15,10,15,35,15
Aquagirl I,Tula,,Good,DC Comics,90,55,85,70,55,75
Aqualad II,Jackson Hyde,Jackson Hyde,Good,DC Comics,85,35,90,90,75,75
Aqualad,Garth,Garth,Good,DC Comics,80,45,40,75,90,60
Aquaman (Injustice),Arthur Curry,,Good,DC Comics,85,75,75,80,100,85
Aquaman,Orin,Orin,Good,DC Comics,90,85,80,80,100,80
Aracnido Jr.,,,,Marvel Comics,90,65,60,55,35,80
Aragorn,Aragorn II Elessar,,Good,J. R. R. Tolkien,90,15,40,55,55,100
Archangel (FOX),Warren Kenneth Worthington III,,,Marvel Comics,95,20,60,75,65,70
Archangel,Warren Kenneth Worthington III ,Warren Kenneth Worthington III ,Good,Marvel Comics,80,15,60,65,35,40
Arclight,Philippa Sontag,Philippa Sontag,Bad,Marvel Comics,70,65,25,40,50,70
Arcturus,Arcturus,Arcturus,Neutral,,90,60,55,80,100,85
Ardina,Ardina,,Good,Marvel Comics,80,100,100,80,100,25
Ariel,Ariel,Ariel,Good,Marvel Comics,75,10,10,15,95,30
Arizona Annie,,,,Marvel Comics,90,10,15,20,20,65
Arkade,,,Bad,,50,20,40,45,100,95
Arkillo,Arkillo,Arkillo,Bad,DC Comics,90,100,65,70,100,70
Armor,Hisako Ichiki,Hisako Ichiki,Good,Marvel Comics,75,65,10,80,55,55
Arnim Zola (MCU),Arnim Zola,Arnim Zola,Bad,Marvel Comics,100,5,10,15,10,20
Arno Victor Dorian,Arno Dorian,Arno Victor Dorian,Good,Ubisoft,85,10,40,45,90,100
Arnold Flass,Arnold Flass,,Bad,DC Comics,60,10,20,10,20,50
Arsenal (CW),Roy Harper,,,DC Comics,75,20,40,40,40,80
Arsenal,"Roy William Harper, Jr.","Roy William Harper, Jr.",Good,DC Comics,75,10,50,55,45,80
Atom (CW),Ray Palmer,Raymon Carson Palmer,Good,DC Comics,100,35,70,75,100,85
Artemis (CW),Evelyn Sharp,Evelyn Crawford Sharp,Bad,,85,10,35,30,30,75
Arthur Dayne,,Ser Arthur Dayne,Good,George R. R. Martin,70,10,50,35,20,100
Ash,Ash,,Good,Lego,90,25,60,80,100,100
Aspheera,Aspheera,Aspheera,Bad,,95,30,90,80,100,100
Asura,Asura,Asura,Good,Capcom,60,100,100,100,100,100
Batgirl III,Helena Rosa Bertinelli,Helena Rosa Bertinelli,Good,DC Comics,95,20,50,45,40,95
Atom Girl,Salu Digby,Salu Digby,Good,DC Comics,70,10,25,30,40,40
Atom II,Ray Palmer,Raymond Palmer,Good,DC Comics,95,10,35,45,40,60
Atom III,Adam Cray,Adam Cray,Good,DC Comics,0,0,0,0,0,0
Atom IV,Ryan Choi,Ryan Choi,Good,DC Comics,100,10,45,35,35,95
Atom Smasher (CW),Al Rothstein,Albert Rothstein,Bad,DC Comics,60,75,65,85,80,65
Atomic Skull,Joseph Martin,Joe Martin,Bad,DC Comics,60,30,40,90,100,65
Atomica,Rhonda Pineda,,Bad,DC Comics,80,10,30,20,40,70
Attuma,Attuma,,,Marvel Comics,95,65,55,75,100,80
Aurora,Jeanne-Marie Beaubier,Jeanne-Marie Beaubier,Good,Marvel Comics,80,10,95,60,85,55
Avatar Korra,Korra,,Good,,80,30,60,90,100,90
Azrael (Gotham),Theo Galavan,Theodore Galavan,Bad,DC Comics,95,40,55,75,60,95
Aztar,Aztar,Aztar,Good,DC Comics,100,100,100,100,100,80
Balder,Balder Odinson,Balder Odinson,Good,Marvel Comics,80,65,75,80,100,100
Bane (Dark Knight),Unknown,Unknown,Bad,DC Comics,95,30,25,60,65,90
Bane (Injustice),Dorrance,,Bad,DC Comics,95,55,75,65,65,85
Batman (1966),Bruce Wayne,Bruce Wayne,,DC Comics,80,30,35,40,90,70
Bane,,,Bad,DC Comics,85,75,50,70,90,90
Banshee (FOX),Sean Cassidy,,,Marvel Comics,90,10,25,35,35,70
Banshee,Sean Cassidy,Sean Cassidy,Good,Marvel Comics,75,10,60,40,65,70
Bantam,Roberto Velasquez,Roberto Velasquez,Good,Marvel Comics,65,55,25,55,20,55
Barb Wire,Barbara Kopetski,Barbara Ludwika Rose Kopetski.,Good,Dark Horse Comics,90,15,25,50,50,100
Batman (Arkham),Bruce Wayne,Bruce Wayne,Good,DC Comics,100,20,55,100,95,100
Baron Mordo (MCU),Karl Mordo,,Bad,Marvel Comics,100,30,65,60,100,90
Baron Zemo (MCU),Helmut J. Zemo,,Bad,Marvel Comics,100,30,50,50,30,100
Baron Zemo,Helmut Zemo,Helmut J. Zemo,Bad,Marvel Comics,90,50,20,65,80,80
Batcow,None,None,Good,DC Comics,70,10,25,20,10,20
Calculator,Noah Kutller,Noah Kutller,Neutral,DC Comics,100,5,40,60,70,65
Batgirl (Injustice),Barbara Gordon,Barbara Gordon,Good,DC Comics,100,15,45,50,50,100
Batgirl IV,Cassandra Cain,Cassandra Cain,Good,DC Comics,85,10,25,55,45,100
Batgirl (New 52),Barbara Gordon,Barbara Joan Gordon,Good,DC Comics,100,10,25,30,50,95
Batgirl VI,Stephanie Brown,Stephanie Brown,Good,DC Comics,90,10,25,30,20,80
Batgirl,Barbara Gordon,Barbara Gordon,Good,DC Comics,95,10,35,40,50,90
Bathound,Ace,,Good,DC Comics,50,10,15,30,30,35
Batman (Burtonverse),Bruce Wayne,Bruce Wayne,Good,DC Comics,90,15,25,40,40,90
Batman (DC One Million),,,Good,DC Comics,100,40,50,50,100,100
Batman (DCAU),Bruce Wayne,,Good,DC Comics,100,10,30,30,35,100
Batman (GAM),Kirk Langstrom,,Good,DC Comics,100,30,60,75,75,85
Batman II,Dick Grayson,Richard John Grayson,Good,DC Comics,95,10,35,30,35,100
Batman (Injustice),Bruce Wayne,,Good,DC Comics,100,25,45,55,55,100
Batman (LEGO),Bruce Wayne,Bruce Wayne,Good,Lego,75,20,25,40,60,85
Batman (The Brave And The Bold),Bruce Wayne,,Good,DC Comics,100,15,25,25,30,100
Batroc The Leaper (MCU),Georges Batroc,Georges Batroc,Bad,Marvel Comics,75,15,45,40,35,100
Captain Price,John Price,,Good,,95,15,20,50,40,100
Battle-Suit Batman (DCEU),Bruce Wayne,Bruce Wayne,Good,DC Comics,100,80,50,75,75,95
Battlestar,Lemar Hoskins ,Lemar Hoskins ,Good,Marvel Comics,75,55,35,75,50,75
Batwoman V,Katherine Rebecca Kane,Katherine Rebecca Kane,Good,DC Comics,90,10,30,25,25,80
Batwoman,Helena Wayne,,Good,DC Comics,90,15,30,30,40,85
Beak,Barnell Bohusk ,Barnell Bohusk ,Good,Marvel Comics,0,0,0,0,5,0
Beast Boy (Titans),Garfield Logan,Garfield Logan,Good,DC Comics,75,30,60,45,65,65
Beast Boy,Garfield Mark Logan,Garfield Mark Logan,Good,DC Comics,75,30,50,70,80,40
Beast (FOX),Henry Philip McCoy,,Good,Marvel Comics,100,50,70,50,40,100
Beetle,Abner Jenkins,Abner Ronald Jenkins,Bad,Marvel Comics,95,30,50,50,55,65
Bekka,Bekka,,Neutral,DC Comics,95,100,90,100,100,100
Big Daddy,Damon Macready,Damon Macready,Good,Icon Comics,70,10,10,30,20,65
Ben 10,Benjamin Kirby Tennyson,Benjamin Kirby Tennyson,Good,DC Comics,90,100,100,100,100,75
Beta Ray Bill,Beta Ray Bill,Beta Ray Bill,Good,Marvel Comics,80,80,35,95,100,85
Beyonder,,,Neutral,Marvel Comics,100,100,100,100,100,90
Big Barda,Barda Free,Barda Free,Bad,DC Comics,95,100,80,100,100,100
Big Boss,John,,Good,,100,95,50,50,100,100
Bill Harken,,,Good,SyFy,80,35,35,60,25,40
Billy Kincaid,Billy Kincaid,Billy Kincaid,Bad,Image Comics,0,0,0,0,0,0
Binary,Carol Danvers,Carol Susan Jane Danvers,Good,Marvel Comics,100,100,95,100,100,90
Bird-Brain,,,Good,Marvel Comics,65,10,35,30,20,40
Bird-Man II,Achille DiBacco,Achille DiBacco,Bad,Marvel Comics,0,0,0,0,10,0
Bizarro,Bizarro,Bizarro,Neutral,DC Comics,70,95,100,100,100,85
Bird-Man,Henry Hawk,Henry Hawk,Bad,Marvel Comics,0,0,0,0,5,0
Bird,Birdy Colossimo,,Bad,DC Comics,90,10,15,10,15,80
Birdman,Ray Randal,Ray Randal,Good,Hanna-Barbera,75,30,65,55,100,85
Bishop (Fox),Lucas Bishop,Lucas Bishop,Good,Marvel Comics,80,15,30,70,80,70
Bishop,Lucas Bishop,Lucas Bishop,Good,Marvel Comics,80,15,25,75,100,65
Bizarro-Girl,,,Neutral,DC Comics,75,100,100,100,100,75
Black Abbott,,,Bad,Marvel Comics,0,0,0,0,35,0
Black Adam (New 52),Teth-Adam,Teth-Adam,Bad,DC Comics,90,100,100,90,100,90
Black Adam (Pre-Crisis),Teth-Adam,,Bad,DC Comics,95,100,100,100,100,100
Black Adam,Teth-Adam,Teth-Adam,Bad,DC Comics,100,100,100,100,100,90
Black Cat (Edge of Time),Felicia Hardy,,Neutral,Marvel Comics,85,10,75,40,75,85
Black Alice,Lori Zechlin,Lori Zechlin,Good,DC Comics,95,100,100,85,100,85
Black Bolt (MCU),Blackagar Boltagon,Blackagar Boltagon,Good,Marvel Comics,85,30,30,50,75,85
Black Bolt,Blackagar Boltagon,Blackagar Boltagon,Good,Marvel Comics,90,65,100,85,100,55
Black Canary (CW),Laurel Lance,Dinah Laurel Lance,Good,DC Comics,85,10,85,35,65,85
Bookworm,A.S. Scarlet,,Bad,DC Comics,90,0,5,5,15,5
Black Canary II (CW),Dinah Drake,Dinah Drake,Good,DC Comics,90,20,50,45,50,100
Black Canary (Injustice),Dinah Laurel Lance,,Good,DC Comics,95,20,50,45,50,100
Black Canary,Laurel Lance,Dinah Laurel Lance,Good,DC Comics,80,10,35,20,50,80
Black Cat (earth 1610),Felicia Hardy,,Neutral,Marvel Comics,85,10,80,80,60,90
Black Cat (Earth 65),Felicia Hardy,,,Marvel Comics,90,15,35,25,55,90
Black Cat (PS4),Felicia Hardy,,Neutral,Marvel Comics,80,10,65,30,45,80
Black Cat,Felicia Hardy,Felicia Hardy,Good,Marvel Comics,90,15,35,10,25,70
Black Eagle,Cassius Bannister,Cassius Bannister,Good,DC Comics,0,0,0,0,0,0
Black Flash,,,Neutral,DC Comics,75,10,100,80,100,30
Black Hand,William Hand,William Hand,,DC Comics,95,90,85,75,100,75
Black Knight III,Dane Whitman,Dane Whitman,Good,Marvel Comics,80,10,10,70,45,70
Black Lightning (CW),Jefferson Pierce,Jefferson Pierce,Good,,80,15,35,70,80,90
Black Lightning,Jefferson Pierce,Jefferson Pierce,Good,DC Comics,75,10,55,30,70,75
Black Mamba,Tanya Sealy,Tanya Sealy,Bad,Marvel Comics,90,10,35,40,90,65
Black Manta (DCEU),David Kane,,Bad,DC Comics,85,45,55,55,75,85
Black Manta,David,,Bad,DC Comics,90,30,50,60,75,85
Catwoman (Dark Knight),Selina Kyle,Selena Kyle,Neutral,DC Comics,85,10,70,80,40,90
"Black Panther (1,000,000 B.C.)",Unknown,,,Marvel Comics,90,30,45,55,40,75
Black Siren (CW),Laurel Lance (Earth Two),Laurel Lance,Good,,90,15,45,45,65,95
Black Spider,Eric Needham,,Neutral,DC Comics,90,10,35,35,30,85
Blackwing,Joseph Manfredi,Joseph Manfredi,Bad,Marvel Comics,70,10,35,30,20,55
Blackwulf,Lucian,Lucian,,Marvel Comics,75,30,10,30,70,25
Blade,Eric Brooks,Eric Brooks,Good,Marvel Comics,80,30,40,50,40,90
Blight,Derek Powers,,Bad,DC Comics,90,10,30,100,100,50
Bling!,Roxanne Washington ,Roxanne Washington ,Good,Marvel Comics,85,15,10,90,50,30
Blink,Clarice Ferguson,Clarice Ferguson,Good,Marvel Comics,75,10,20,30,75,65
Blizzard II,Donald Gill,Donald Gill,Bad,Marvel Comics,70,10,25,40,45,55
Blizzard Samurai,Unknown,Unknown,Bad,Lego,80,10,20,45,100,85
Blizzard,Gregor Shapanka,Gregor Shapanka,Bad,Marvel Comics,0,0,0,0,0,0
Blob (FOX),Fred Dukes,Frederick J. Dukes,Bad,Marvel Comics,80,30,30,85,45,50
Blob,Frederick J. Dukes,Frederick J. Dukes,Bad,Marvel Comics,55,85,25,95,30,70
Blockbuster,Mark Desmond,,Bad,Marvel Comics,75,65,50,55,50,45
Bloodaxe,Jackie Lukus,Jackie Lukus,Bad,Marvel Comics,80,80,35,80,100,85
Bloodhawk,Lemuel Krug,Lemuel Krug,Good,Marvel Comics,75,10,50,80,80,65
Bullseye,Lester,Lester,Bad,Marvel Comics,75,10,25,70,20,70
Bloodwraith,Sean Dolan,Sean Dolan,Bad,Marvel Comics,0,0,0,0,70,0
Blue Beetle II,Theodore Kord,Theodore Stephen,Good,DC Comics,95,55,50,60,70,90
Blue Beetle III,Jaime Reyes,Jaime Reyes,Good,DC Comics,75,35,60,80,100,30
Blue Beetle (Injustice),Jaime Reyes,Jaime Reyes,Good,DC Comics,75,35,90,85,100,70
Bolobo,Bolobo,Bolobo,Good,,40,65,30,60,100,70
Bomb Queen,,,Bad,Image Comics,0,0,0,0,10,0
Boom-Boom,Tabitha Smith,Tabitha Smith,Good,Marvel Comics,70,10,10,40,55,65
Booster Gold,Michael Jon Carter,Michael Jon Carter,Good,DC Comics,85,85,40,70,100,40
Bor Burison,Bor Burison,Bor Burison,Neutral,Marvel Comics,75,100,100,100,100,100
Box III,Dr. Walter Langowski,Dr. Walter Langowski,Good,Marvel Comics,0,0,0,0,0,0
Box IV,Madison Jeffries,Madison Jeffries,Good,Marvel Comics,75,75,25,30,15,55
Brainiac 5 (CW),Querl Dox,Querl Dox,Good,,100,40,60,80,85,90
Brainiac 5,Querl Dox,Querl Dox,Good,DC Comics,100,10,25,30,60,30
Brainiac,Vril Dox,Vril Dox,Bad,DC Comics,100,95,65,90,65,75
Brickster,Unknown,Unknown,Bad,Lego,75,10,25,30,35,65
Brother Voodoo,Jericho Drumm,Jericho Drumm,Good,Marvel Comics,95,15,55,60,90,85
Bruce Banner (Wild West),Bruce Banner,,,Marvel Comics,100,10,10,15,10,20
Brundlefly,Seth Brundle,Sethaniel Brundle,Neutral,,85,30,25,40,30,15
Bryan Mills,,,Good,,100,15,30,60,50,100
Buffy,Buffy Anne Summers,Buffy Anne Summers,Good,Dark Horse Comics,80,30,40,70,50,60
Bullseye (MCU),Benjamin Poindexter,,Bad,Marvel Comics,80,20,40,45,45,85
Bullseye (Wild West),Lester,,Bad,Marvel Comics,85,10,20,15,20,85
Bumblebee,Bumblebee,Bumblebee,Good,Hasbro,85,55,60,75,75,95
Bumbleboy,,,Good,Marvel Comics,0,0,0,0,10,0
Buri,Buri,Buri,Neutral,Marvel Comics,100,100,90,90,100,100
Bushido,Ryuko Orsono,Ryuko Orsono,Good,DC Comics,70,10,10,10,20,70
Bushmaster (MCU),John Mclver,John Mclver,Bad,Marvel Comics,85,55,60,70,65,95
Butterball,Emery Schaub,,Good,Clive Barker,90,10,25,100,100,50
Cable (FOX),Nathan Summers,,Bad,Marvel Comics,65,55,80,60,100,70
Cable,Nathan Summers,Nathan Christopher Charles Summers Dayspring,Good,Marvel Comics,95,50,25,55,100,80
Caesar,Caesar,,Neutral,,100,30,40,65,85,100
Caitlin Fairchild,Caitlin Fairchild,,Good,DC Comics,95,100,85,100,100,85
Caliban (FOX),,,,Marvel Comics,90,30,45,55,40,70
Caliban,,,Good,Marvel Comics,75,50,35,50,65,60
Callisto,Callisto,Callisto,Bad,Marvel Comics,80,55,25,40,50,85
Cameron Hicks,,,Good,SyFy,75,10,25,30,50,70
Cannonball,Samuel Zachery Guthrie,Samuel Zachery Guthrie,Good,Marvel Comics,75,30,65,100,95,55
Captain America 2099,Roberta Mendez,,Good,Marvel Comics,95,20,55,45,45,100
Captain America (EMH),Steve Rogers,Steven Grant Rogers,Good,Marvel Comics,85,20,50,60,65,100
Captain America (Venomized),Steve Rogers,Steven Steve Rogers,Bad,Marvel Comics,75,40,50,50,100,100
Captain America (Wild West),Steve Rogers,,,Marvel Comics,95,20,35,50,40,95
Captain Atom,Nathaniel Adam,Nathaniel Christopher Adam,Good,DC Comics,90,95,85,90,100,80
Captain Boomerang (CW),Digger Harkness,Digger Harkness,Bad,DC Comics,85,15,35,35,45,90
Captain Boomerang (DCEU),Digger Harkness,George Harkness,Bad,DC Comics,85,15,25,40,40,80
Captain Boomerang,George Harkness,,Bad,DC Comics,60,15,40,40,40,80
Captain Britain,Brian Braddock,Brian Braddock,Good,Marvel Comics,90,75,50,60,30,80
Captain Cold (CW),Leonard Snart,,Neutral,DC Comics,40,10,60,45,40,80
Captain Corbett,,,Bad,Marvel Comics,95,10,10,10,15,50
Captain Epic,,,Good,Team Epic TV,0,0,0,0,5,0
Captain Hindsight,Jack Brolin,Jack Brolin,Good,South Park,65,10,85,30,10,20
Captain Mar-vell,Genis-Vell,Genis-Vell,Good,Marvel Comics,85,95,90,90,100,85
Captain Marvel II,Frederick Christopher Freeman,Frederick Christopher Freeman,Good,DC Comics,90,80,25,90,35,55
Captain Metropolis,Nelson Gardner,Nelson Gardner,Good,DC Comics,85,20,25,40,45,80
Captain Planet,,,Good,Marvel Comics,75,90,75,80,100,60
Captain Soto,Soto,Soto,Neutral,,80,30,35,50,85,75
Captain Stingaree,Karl Courtney,,Bad,DC Comics,90,10,15,10,20,75
Captain Universe,,,Neutral,Marvel Comics,80,100,100,100,100,60
Castiel,,,Good,Wildstorm,95,10,40,100,100,90
Cat,Shirlee Bryant,Shirlee Bryant,Good,Marvel Comics,70,10,40,15,15,90
Catwoman (Injustice),Selina Kyle,,Bad,DC Comics,95,10,50,45,50,100
Catwoman,Selina Kyle,Selina Kyle,Bad,DC Comics,85,10,25,30,45,85
Caulifla,Caulifla,Caulifla,Neutral,Shueisha,80,100,100,100,100,100
Cecilia Reyes,Dr. Cecilia Reyes,Dr. Cecilia Reyes,Good,Marvel Comics,0,0,0,0,0,0
Century,,,Good,Marvel Comics,95,80,55,65,100,100
Cerebra,Shakti Haddad,Shakti Haddad,Good,Marvel Comics,0,0,0,0,5,0
Chamber,Jonothon Evan Starsmore,Jonothon Evan Starsmore,Good,Marvel Comics,75,10,20,80,55,65
,,,,,0,0,0,0,0,0
Champion Of The Universe,Tryco Slatterus,Tryco Slatterus,Neutral,Marvel Comics,50,100,75,100,100,100
Changeling,Kevin Sidney,Kevin Sidney,Bad,Marvel Comics,80,10,25,40,65,65
Cheetah II,Deborah Domaine,Deborah Domaine,Bad,DC Comics,70,20,40,20,40,60
Cheetah III,Barbara Minerva,Barbara Ann Minerva,Bad,DC Comics,95,100,90,80,80,95
Cheetah,Priscilla Rich,Priscilla Rich,Bad,DC Comics,70,10,40,20,30,70
Cheshire,Jade Nguyen,Jade Nguyen,Bad,DC Comics,90,10,35,50,50,100
Chewtoy,Unknown,/,Neutral,Lego,75,10,10,15,30,30
Chipmunk Hunk,Tomas Lara-Perez,,Good,Marvel Comics,95,30,35,35,45,65
Chope,Chope,Chope,Bad,,60,10,15,10,20,50
Chop'rai,Chope,Chope,Bad,,80,40,50,50,100,90
Elastigirl,Helen Parr,Helen Parr,Good,Dark Horse Comics,80,30,35,95,50,70
Chosen Undead,,,,Namco,60,50,45,70,100,85
Chroma,Roy G. Bivolo,Roy G. Bivolo,Bad,DC Comics,0,0,0,0,0,0
Chromos,Bernard Embers,Bernard Embers,Bad,Team Epic TV,0,0,0,0,55,0
Chuck Norris,Carlos Ray Norris,Carlos Ray Norris,Good,,75,80,45,55,40,100
Citizen Steel (CW),Nate Heywood,Nathaniel Heywood,Good,DC Comics,95,90,35,100,70,80
Citizen Steel,Nathan Heywood,Nathaniel Heywood,Good,DC Comics,75,95,35,100,25,60
Cole,Cole,Cole,,Lego,70,50,50,80,100,100
Claire Bennet,Claire Bennet,Claire Bennet,Good,NBC - Heroes,70,10,10,100,90,30
Clea,Clea,Clea,Good,Marvel Comics,100,35,75,90,100,70
Cloak,Tyrone Johnson,Tyrone Johnson,Good,Marvel Comics,80,10,45,65,100,55
Clock King,William Tockman,William Tockman,Bad,DC Comics,90,10,15,10,5,40
Cloud 9,Abigail Abby Boylen,,Good,Marvel Comics,90,10,60,95,35,50
Cogliostro,Cain,Cain,Bad,Image Comics,0,0,0,0,60,0
Cole (The LEGO Ninjago Movie),Cole,/,Good,Lego,85,25,25,30,100,100
Collector,Taneleer Tivan,Taneleer Tivan,Bad,Marvel Comics,95,50,30,60,100,75
Colleen Wing (MCU),Colleen Wing,,,Marvel Comics,95,15,50,95,35,100
Colossus (FOX),Peter Rasputin,Piotr Rasputin,Good,,70,80,35,100,65,85
Colossus,Peter Rasputin,Piotr Nikolaievitch Rasputin,Good,Marvel Comics,80,85,35,100,45,80
Constantine (CW),John Constantine,John Constantine,Good,DC Comics,95,10,25,30,100,70
Commander Blunck,Blunck,,Bad,,85,30,25,50,100,65
Commander Machia,Machia,Machia,Bad,,70,50,45,70,100,90
Commander Raggmunk,Raggmunk,,Bad,,75,30,60,60,100,50
Connor Hawke,Connor Hawke,,Good,DC Comics,90,10,35,40,55,95
Connor Kenway,Ratonhnhaké:ton,,Good,Ubisoft,90,10,40,40,70,100
